date,hour_ini,kp,sun_spot_norm
2016-01-30,15.0,0.667,0.15
2016-01-30,18.0,0.0,0.15
2016-01-30,21.0,0.667,0.15
2016-01-31,0.0,1.0,0.1458333333333333
2016-01-31,3.0,1.667,0.1458333333333333
2016-01-31,6.0,2.333,0.1458333333333333
2016-01-31,9.0,2.333,0.1458333333333333
2016-01-31,12.0,2.0,0.1458333333333333
2016-01-31,15.0,2.0,0.1458333333333333
2016-01-31,18.0,1.667,0.1458333333333333
2016-01-31,21.0,3.667,0.1458333333333333
2016-02-01,0.0,2.667,0.1833333333333333
2016-02-01,3.0,3.667,0.1833333333333333
2016-02-01,6.0,2.333,0.1833333333333333
2016-02-01,9.0,2.333,0.1833333333333333
2016-02-01,12.0,0.333,0.1833333333333333
2016-02-01,15.0,0.333,0.1833333333333333
2016-02-01,18.0,0.0,0.1833333333333333
2016-02-01,21.0,0.0,0.1833333333333333
2016-02-02,0.0,0.0,0.2166666666666666
2016-02-02,3.0,0.0,0.2166666666666666
2016-02-02,6.0,1.0,0.2166666666666666
2016-02-02,9.0,0.667,0.2166666666666666
2016-02-02,12.0,1.333,0.2166666666666666
2016-02-02,15.0,2.0,0.2166666666666666
2016-02-02,18.0,2.0,0.2166666666666666
2016-02-02,21.0,2.667,0.2166666666666666
2016-02-03,0.0,4.0,0.3458333333333333
2016-02-03,3.0,4.667,0.3458333333333333
2016-02-03,6.0,2.667,0.3458333333333333
2016-02-03,9.0,1.0,0.3458333333333333
2016-02-03,12.0,0.667,0.3458333333333333
2016-02-03,15.0,1.0,0.3458333333333333
2016-02-03,18.0,0.667,0.3458333333333333
2016-02-03,21.0,0.333,0.3458333333333333
2016-02-04,0.0,0.333,0.45
2016-02-04,3.0,0.333,0.45
2016-02-04,6.0,1.333,0.45
2016-02-04,9.0,1.667,0.45
2016-02-04,12.0,2.333,0.45
2016-02-04,15.0,1.667,0.45
2016-02-04,18.0,1.333,0.45
2016-02-04,21.0,0.667,0.45
2016-02-05,0.0,2.667,0.4291666666666666
2016-02-05,3.0,3.333,0.4291666666666666
2016-02-05,6.0,2.333,0.4291666666666666
2016-02-05,9.0,2.333,0.4291666666666666
2016-02-05,12.0,2.0,0.4291666666666666
2016-02-05,15.0,2.0,0.4291666666666666
2016-02-05,18.0,2.333,0.4291666666666666
2016-02-05,21.0,2.0,0.4291666666666666
2016-02-06,0.0,1.667,0.3291666666666666
2016-02-06,3.0,2.333,0.3291666666666666
2016-02-06,6.0,1.333,0.3291666666666666
2016-02-06,9.0,1.333,0.3291666666666666
2016-02-06,12.0,1.333,0.3291666666666666
2016-02-06,15.0,1.667,0.3291666666666666
2016-02-06,18.0,1.667,0.3291666666666666
2016-02-06,21.0,2.333,0.3291666666666666
2016-02-07,0.0,2.0,0.3708333333333333
2016-02-07,3.0,0.333,0.3708333333333333
2016-02-07,6.0,1.0,0.3708333333333333
2016-02-07,9.0,1.333,0.3708333333333333
2016-02-07,12.0,2.0,0.3708333333333333
2016-02-07,15.0,3.667,0.3708333333333333
2016-02-07,18.0,2.0,0.3708333333333333
2016-02-07,21.0,2.0,0.3708333333333333
2016-02-08,0.0,5.0,0.3708333333333333
2016-02-08,3.0,4.333,0.3708333333333333
2016-02-08,6.0,4.333,0.3708333333333333
2016-02-08,9.0,1.667,0.3708333333333333
2016-02-08,12.0,1.333,0.3708333333333333
2016-02-08,15.0,1.0,0.3708333333333333
2016-02-08,18.0,1.0,0.3708333333333333
2016-02-08,21.0,0.333,0.3708333333333333
2016-02-09,0.0,2.0,0.35
2016-02-09,3.0,1.0,0.35
2016-02-09,6.0,1.333,0.35
2016-02-09,9.0,3.0,0.35
2016-02-09,12.0,2.667,0.35
2016-02-09,15.0,1.333,0.35
2016-02-09,18.0,1.333,0.35
2016-02-09,21.0,2.667,0.35
2016-02-10,0.0,2.667,0.3125
2016-02-10,3.0,1.333,0.3125
2016-02-10,6.0,1.0,0.3125
2016-02-10,9.0,0.667,0.3125
2016-02-10,12.0,0.333,0.3125
2016-02-10,15.0,0.333,0.3125
2016-02-10,18.0,0.667,0.3125
2016-02-10,21.0,1.0,0.3125
2016-02-11,0.0,2.0,0.3541666666666667
2016-02-11,3.0,2.0,0.3541666666666667
2016-02-11,6.0,2.0,0.3541666666666667
2016-02-11,9.0,1.333,0.3541666666666667
2016-02-11,12.0,1.667,0.3541666666666667
2016-02-11,15.0,2.333,0.3541666666666667
2016-02-11,18.0,1.667,0.3541666666666667
2016-02-11,21.0,3.333,0.3541666666666667
2016-02-12,0.0,3.333,0.2625
2016-02-12,3.0,2.333,0.2625
2016-02-12,6.0,2.0,0.2625
2016-02-12,9.0,3.667,0.2625
2016-02-12,12.0,3.0,0.2625
2016-02-12,15.0,2.333,0.2625
2016-02-12,18.0,2.0,0.2625
2016-02-12,21.0,2.0,0.2625
2016-02-13,0.0,2.0,0.1583333333333333
2016-02-13,3.0,2.667,0.1583333333333333
2016-02-13,6.0,3.0,0.1583333333333333
2016-02-13,9.0,1.667,0.1583333333333333
2016-02-13,12.0,1.0,0.1583333333333333
2016-02-13,15.0,1.0,0.1583333333333333
2016-02-13,18.0,0.667,0.1583333333333333
2016-02-13,21.0,0.667,0.1583333333333333
2016-02-14,0.0,2.333,0.1916666666666666
2016-02-14,3.0,2.667,0.1916666666666666
2016-02-14,6.0,2.0,0.1916666666666666
2016-02-14,9.0,2.333,0.1916666666666666
2016-02-14,12.0,2.333,0.1916666666666666
2016-02-14,15.0,3.0,0.1916666666666666
2016-02-14,18.0,1.667,0.1916666666666666
2016-02-14,21.0,1.0,0.1916666666666666
2016-02-15,0.0,2.333,0.2083333333333333
2016-02-15,3.0,2.333,0.2083333333333333
2016-02-15,6.0,3.0,0.2083333333333333
2016-02-15,9.0,1.667,0.2083333333333333
2016-02-15,12.0,1.667,0.2083333333333333
2016-02-15,15.0,1.0,0.2083333333333333
2016-02-15,18.0,1.0,0.2083333333333333
2016-02-15,21.0,4.333,0.2083333333333333
2016-02-16,0.0,4.0,0.175
2016-02-16,3.0,2.667,0.175
2016-02-16,6.0,3.333,0.175
2016-02-16,9.0,4.667,0.175
2016-02-16,12.0,5.333,0.175
2016-02-16,15.0,5.0,0.175
2016-02-16,18.0,5.333,0.175
2016-02-16,21.0,4.667,0.175
2016-02-17,0.0,5.0,0.1583333333333333
2016-02-17,3.0,3.333,0.1583333333333333
2016-02-17,6.0,4.333,0.1583333333333333
2016-02-17,9.0,3.0,0.1583333333333333
